Age,Weight,Temperature,Heart_Rate,Activity_Level,Eating_Habits,Hydration,Exercise_Hours,Pet_Type,Breed_Category,Vaccination_Status,Sick
7,29.64854705,36.67918002,179,4,1,0.769361347,2.819144697,Cat,Medium,Up-to-date,0
15,27.81403328,39.72296887,67,3,3,2.633500172,4.453291863,Cat,Small,Not up-to-date,0
11,19.87902733,37.91438151,142,7,2,2.829564518,3.887624754,Cat,Medium,Not up-to-date,0
8,16.7401441,37.36154684,140,1,4,2.347081675,1.15413737,Dog,Medium,Not up-to-date,1
7,16.28647657,38.96703791,164,7,4,2.973091753,0.521153939,Cat,Small,Not up-to-date,0
19,26.32185428,39.50735762,175,6,3,0.613197102,1.468675338,Dog,Small,Not up-to-date,0
11,20.80218549,37.48285425,114,3,1,1.328773544,0.6626331,Dog,Small,Up-to-date,0
11,34.26702542,37.62937501,171,3,4,0.830310776,4.772314125,Cat,Small,Up-to-date,0
4,35.2386754,37.73263288,68,2,3,2.455046258,1.913666458,Dog,Large,Up-to-date,0
8,8.481294364,39.68929225,110,1,4,2.726032562,0.866142752,Cat,Small,Not up-to-date,0
3,7.176878759,38.77025597,75,5,1,1.617796348,3.11183979,Cat,Small,Not up-to-date,0
2,25.95523519,36.99058447,112,7,3,2.573012051,1.991152965,Cat,Small,Up-to-date,0
12,13.44657843,36.73999879,118,7,2,2.619054036,1.089812915,Dog,Small,Not up-to-date,1
6,2.705687313,36.92147065,104,6,3,0.849226153,0.288356898,Dog,Small,Up-to-date,1
2,35.76842144,37.05425556,174,6,3,1.442464078,0.462339134,Dog,Large,Up-to-date,0
1,10.62222916,36.92073397,96,7,4,0.970070578,2.816588234,Dog,Small,Up-to-date,0
12,37.31266476,38.63402579,150,8,4,2.175127402,3.751730655,Dog,Large,Up-to-date,1
12,29.26250913,36.46373404,125,5,2,1.468327737,4.628924129,Dog,Large,Up-to-date,0
17,30.98083262,37.54943396,123,1,4,2.169437037,2.927170129,Dog,Large,Not up-to-date,0
10,9.65553684,38.50021429,95,7,4,2.689690695,3.263569886,Cat,Medium,Up-to-date,0
16,10.89938817,37.1634399,135,2,4,1.531880859,1.20993033,Dog,Large,Up-to-date,0
15,21.80817465,36.26109754,109,5,1,2.929809397,1.37181579,Dog,Small,Not up-to-date,0
15,8.539794401,36.32729569,158,7,3,1.521535185,2.087821539,Cat,Small,Not up-to-date,0
19,13.60640432,36.50386711,154,7,4,1.034336638,4.343674892,Cat,Medium,Up-to-date,1
12,14.21557416,39.3433721,112,9,1,1.823182079,2.176748122,Cat,Small,Up-to-date,0
3,8.065937464,38.63145402,116,5,3,1.497596334,1.198172555,Cat,Large,Up-to-date,1
5,9.796947669,36.25808964,78,6,2,0.81250377,4.597488019,Dog,Large,Up-to-date,1
19,31.96497,37.56427552,85,6,3,0.557979859,2.057178135,Dog,Large,Up-to-date,1
7,8.353442473,37.11434069,177,1,1,2.360010431,0.397551452,Cat,Large,Up-to-date,0
9,3.08138089,38.31216045,159,7,1,2.832148717,2.72737542,Dog,Medium,Not up-to-date,0
7,25.91548782,38.0912238,127,7,2,1.601186298,3.132178152,Dog,Large,Not up-to-date,0
18,39.08735854,37.92449609,171,4,1,0.663517693,4.77692036,Dog,Small,Up-to-date,0
4,14.58612496,37.25804948,102,4,2,2.351607773,4.032993358,Dog,Small,Not up-to-date,0
14,6.508916721,36.55119909,154,6,2,2.667679916,0.505565644,Cat,Large,Up-to-date,1
18,23.67471836,38.96950553,117,3,1,1.309132715,2.559625107,Dog,Medium,Up-to-date,1
9,36.44146002,39.51942708,136,6,1,1.055038182,2.170569188,Dog,Medium,Up-to-date,0
2,31.79434763,39.77660364,176,4,4,1.342641498,1.967218222,Cat,Large,Up-to-date,0
15,25.655603,36.23447588,166,8,4,2.770788128,0.699065907,Cat,Large,Not up-to-date,0
7,13.97214687,38.95963485,162,5,2,1.544902821,1.876688233,Cat,Large,Up-to-date,0
